session,subject_file,subject_id,clip,window_count,feature_shape
session_1,sub10_20200903.npy,sub10,clip_1,42,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_2,17,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_3,49,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_4,32,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_5,22,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_6,38,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_7,38,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_8,52,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_9,36,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_10,42,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_11,12,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_12,27,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_13,54,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_14,42,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_15,64,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_16,35,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_17,17,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_18,44,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_19,35,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_20,12,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_21,28,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_22,28,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_23,43,"(5, 62)"
session_1,sub10_20200903.npy,sub10,clip_24,34,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_1,42,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_2,17,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_3,49,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_4,32,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_5,22,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_6,38,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_7,38,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_8,52,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_9,36,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_10,42,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_11,12,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_12,27,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_13,54,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_14,42,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_15,64,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_16,35,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_17,17,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_18,44,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_19,35,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_20,12,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_21,28,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_22,28,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_23,43,"(5, 62)"
session_1,sub11_20200803.npy,sub11,clip_24,34,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_1,42,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_2,17,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_3,49,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_4,32,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_5,22,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_6,38,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_7,38,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_8,52,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_9,36,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_10,42,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_11,12,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_12,27,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_13,54,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_14,42,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_15,64,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_16,35,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_17,17,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_18,44,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_19,35,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_20,12,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_21,28,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_22,28,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_23,43,"(5, 62)"
session_1,sub12_20200912.npy,sub12,clip_24,34,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_1,42,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_2,17,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_3,49,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_4,32,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_5,22,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_6,38,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_7,38,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_8,52,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_9,36,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_10,42,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_11,12,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_12,27,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_13,54,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_14,42,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_15,64,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_16,35,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_17,17,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_18,44,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_19,35,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_20,12,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_21,28,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_22,28,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_23,43,"(5, 62)"
session_1,sub13_20200905.npy,sub13,clip_24,34,"(5, 62)"
session_1,sub14_20200912.npy,sub14,clip_1,42,"(5, 62)"
session_1,sub14_20200912.npy,sub14,clip_2,17,"(5, 62)"
session_1,sub14_20200912.npy,sub14,clip_3,49,"(5, 62)"
session_1,sub14_20200912.npy,sub14,clip_4,32,"(5, 62)"
session_1,sub14_20200912.npy,sub14,clip_5,22,"(5, 62)"
session_1,sub14_20200912.npy,sub14,clip_6,38,"(5, 62)"
session_1,sub14_20200912.npy,sub14,clip_7,38,"(5, 62)"
session_1,sub14_20200912.npy,sub14,clip_8,52,"(5, 62)"
